00 000 96 000 US US Total Mig - US & For            3317538    6226096   162625141    25235
00 000 97 000 US US Total Mig - US                  3100843    5901694   157061195    26324
00 000 98 000 US US Total Mig - Foreign              216695     324402     5563946    10562
01 000 96 000 AL AL Total Mig - US & For              47489      99886     2097035    24702
01 000 97 000 AL AL Total Mig - US                    45469      96146     2038953    25030
01 000 98 000 AL AL Total Mig - Foreign                2020       3740       58082    17515
01 000 01 000 AL AL Non-Migrants                    1532800    3443705    78152182    29786
01 000 12 000 FL FLORIDA                               7396      15021      297835    24121
01 000 13 000 GA GEORGIA                               7386      15791      303128    23849
01 000 47 000 TN TENNESSEE                             3458       7012      150417    24529
01 000 28 000 MS MISSISSIPPI                           3123       6437      112555    23544
01 000 48 000 TX TEXAS                                 2620       5863      125950    26355
01 000 57 000 FR Foreign                               2020       3740       58082    17515
01 000 06 000 CA CALIFORNIA                            1840       3920       83322    25563
01 000 37 000 NC NORTH CAROLINA                        1610       3557       71566    27041
01 000 51 000 VA VIRGINIA                              1503       3437      102695    39443
01 000 22 000 LA LOUISIANA                             1484       3211       70768    27715
01 000 26 000 MI MICHIGAN                              1225       2659       46659    19348
01 000 39 000 OH OHIO                                  1188       2443       50731    21825
01 000 36 000 NY NEW YORK                              1042       1966       36965    21866
01 000 17 000 IL ILLINOIS                              1017       2082       46589    21604
01 000 45 000 SC SOUTH CAROLINA                         876       1874       41815    27231
01 000 21 000 KY KENTUCKY                               821       1795       36031    23114
01 000 18 000 IN INDIANA                                745       1571       33796    22754
01 000 29 000 MO MISSOURI                               609       1274       29450    26394
01 000 42 000 PA PENNSYLVANIA                           576       1152       30177    27316
01 000 24 000 MD MARYLAND                               563       1237       32977    38193
01 000 08 000 CO COLORADO                               537       1238       27405    30077
01 000 05 000 AR ARKANSAS                               502       1100       21951    28666
01 000 53 000 WA WASHINGTON                             497       1102       22094    28154
01 000 04 000 AZ ARIZONA                                483       1019       24570    29832
01 000 34 000 NJ NEW JERSEY                             415        862       48594    29999
01 000 40 000 OK OKLAHOMA                               359        814       14200    26438
01 000 25 000 MA MASSACHUSETTS                          322        630       15504    25262
01 000 55 000 WI WISCONSIN                              295        589       14402    24910
01 000 20 000 KS KANSAS                                 292        690       14881    27023
01 000 15 000 HI HAWAII                                 234        568       10412    31624
01 000 32 000 NV NEVADA                                 228        499       20036    27499
01 000 09 000 CT CONNECTICUT                            193        358        9850    23999
01 000 35 000 NM NEW MEXICO                             189        423        8593    32082
01 000 27 000 MN MINNESOTA                              184        361        8633    22360
01 000 02 000 AK ALASKA                                 176        456        9207    33635
01 000 19 000 IA IOWA                                   174        369        6912    23332
01 000 41 000 OR OREGON                                 159        306        5417    23570
01 000 54 000 WV WEST VIRGINIA                          148        303        5659    19867
01 000 31 000 NE NEBRASKA                               130        299        5874    29443
01 000 49 000 UT UTAH                                   123        328        6519    31249
01 000 23 000 ME MAINE                                  103        212        4603    24285
01 000 10 000 DE DELAWARE                                84        184        4646    28437
01 000 16 000 ID IDAHO                                   80        184        3421    25555
01 000 11 000 DC DISTRICT OF COLUMBIA                    79        120        3928    31874
01 000 33 000 NH NEW HAMPSHIRE                           78        159        4478    27856
01 000 30 000 MT MONTANA                                 72        148        2846    24374
01 000 44 000 RI RHODE ISLAND                            60        117        3111    30999
01 000 56 000 WY WYOMING                                 55        112        2007    27499
01 000 38 000 ND NORTH DAKOTA                            51        119        2133    28213
01 000 46 000 SD SOUTH DAKOTA                            43         91        1706    24999
01 000 50 000 VT VERMONT                                 42         84        1936    26666
02 000 96 000 AK AK Total Mig - US & For              14673      28716      574584    24604
02 000 97 000 AK AK Total Mig - US                    13940      27209      551742    24638
02 000 98 000 AK AK Total Mig - Foreign                 733       1507       22842    23932
02 000 02 000 AK AK Non-Migrants                     227683     490179    13802387    37004
