00 000 96 000 US US Total Mig - US & For            3204530    6093410   162012928    26226
00 000 97 000 US US Total Mig - US                  3100843    5901694   157061195    26324
00 000 98 000 US US Total Mig - Foreign              103687     191716     4951733    23966
01 000 96 000 AL AL Total Mig - US & For              41231      83185     1776861    24171
01 000 97 000 AL AL Total Mig - US                    40071      80743     1731732    24038
01 000 98 000 AL AL Total Mig - Foreign                1160       2442       45129    28662
01 000 01 000 AL AL Non-Migrants                    1532800    3443705    78152182    29786
01 000 13 000 GA GEORGIA                               7435      14923      283025    23089
01 000 12 000 FL FLORIDA                               5541      10497      258556    23386
01 000 47 000 TN TENNESSEE                             3618       7155      160411    24968
01 000 48 000 TX TEXAS                                 2875       6039      136950    26515
01 000 28 000 MS MISSISSIPPI                           2535       5280       90315    21514
01 000 37 000 NC NORTH CAROLINA                        1613       3201       74207    27177
01 000 22 000 LA LOUISIANA                             1584       3327       54041    20230
01 000 06 000 CA CALIFORNIA                            1429       2645       57709    22650
01 000 51 000 VA VIRGINIA                              1304       2894       67732    33520
01 000 57 000 FR Foreign                               1160       2442       45129    28662
01 000 45 000 SC SOUTH CAROLINA                         886       1827       43652    28412
01 000 39 000 OH OHIO                                   761       1552       34615    20416
01 000 36 000 NY NEW YORK                               754       1339       29008    18836
01 000 17 000 IL ILLINOIS                               728       1401       27808    19656
01 000 21 000 KY KENTUCKY                               727       1539       32916    25624
01 000 26 000 MI MICHIGAN                               574       1189       20971    16832
01 000 29 000 MO MISSOURI                               549       1159       30151    25567
01 000 18 000 IN INDIANA                                543       1112       20815    20699
01 000 08 000 CO COLORADO                               539       1150       24564    28749
01 000 53 000 WA WASHINGTON                             481       1023       27836    29317
01 000 05 000 AR ARKANSAS                               474       1019       19280    24916
01 000 04 000 AZ ARIZONA                                457        915       20212    25864
01 000 42 000 PA PENNSYLVANIA                           450        855       22720    24031
01 000 24 000 MD MARYLAND                               391        781       18608    28147
01 000 40 000 OK OKLAHOMA                               387        847       14056    23102
01 000 20 000 KS KANSAS                                 330        750       14587    33402
01 000 55 000 WI WISCONSIN                              266        524       17477    30832
01 000 34 000 NJ NEW JERSEY                             252        461       11138    25999
01 000 25 000 MA MASSACHUSETTS                          218        389        9548    23912
01 000 32 000 NV NEVADA                                 208        417        8211    27352
01 000 15 000 HI HAWAII                                 197        503        8194    27844
01 000 35 000 NM NEW MEXICO                             186        372        9089    26805
01 000 27 000 MN MINNESOTA                              178        338       10595    28957
01 000 02 000 AK ALASKA                                 157        396        7000    31499
01 000 49 000 UT UTAH                                   157        375        7543    31332
01 000 41 000 OR OREGON                                 148        274        5998    25749
01 000 19 000 IA IOWA                                   137        291        5901    25999
01 000 09 000 CT CONNECTICUT                            136        260        6188    24721
01 000 54 000 WV WEST VIRGINIA                          134        280        5741    23653
01 000 31 000 NE NEBRASKA                               108        251        6083    29582
01 000 11 000 DC DISTRICT OF COLUMBIA                    98        139        6232    23749
01 000 56 000 WY WYOMING                                 81        157        2987    23888
01 000 16 000 ID IDAHO                                   74        163        2852    23499
01 000 10 000 DE DELAWARE                                60        124        2765    24166
01 000 23 000 ME MAINE                                   58         98        1478    18888
01 000 33 000 NH NEW HAMPSHIRE                           58         91        2601    27499
01 000 30 000 MT MONTANA                                 57        115        3675    27499
01 000 38 000 ND NORTH DAKOTA                            46        120        2125    29999
