00 000 96 000 US US Total Mig - US & For            3392164    6244600   167151511    24961
00 000 97 000 US US Total Mig - US                  3169383    5913702   161029631    26040
00 000 98 000 US US Total Mig - Foreign              222781     330898     6121881     9861
01 000 96 000 AL AL Total Mig - US & For              49164     101331     2208428    24436
01 000 97 000 AL AL Total Mig - US                    47122      97786     2137968    24763
01 000 98 000 AL AL Total Mig - Foreign                2042       3545       70460    16180
01 000 01 000 AL AL Non-Migrants                    1612276    3579529    83887827    30065
01 000 13 000 GA GEORGIA                               7933      16756      324991    22187
01 000 12 000 FL FLORIDA                               7880      15773      305938    22822
01 000 47 000 TN TENNESSEE                             3649       7359      155490    24975
01 000 28 000 MS MISSISSIPPI                           3075       6351      126767    24252
01 000 48 000 TX TEXAS                                 2780       6120      149980    28297
01 000 57 000 FR Foreign                               2042       3545       70460    16180
01 000 06 000 CA CALIFORNIA                            1726       3556       83006    27285
01 000 37 000 NC NORTH CAROLINA                        1544       3171       69630    26613
01 000 51 000 VA VIRGINIA                              1470       3244       94131    37881
01 000 22 000 LA LOUISIANA                             1395       2895       65347    28440
01 000 26 000 MI MICHIGAN                              1344       2744       51725    19146
01 000 39 000 OH OHIO                                  1188       2420       54020    23527
01 000 17 000 IL ILLINOIS                              1146       2252       46266    19981
01 000 36 000 NY NEW YORK                              1137       2150       46992    23528
01 000 45 000 SC SOUTH CAROLINA                         886       1901       43686    30169
01 000 21 000 KY KENTUCKY                               800       1770       35838    25876
01 000 18 000 IN INDIANA                                752       1564       76067    20892
01 000 29 000 MO MISSOURI                               679       1463       36745    28943
01 000 42 000 PA PENNSYLVANIA                           634       1291       35132    26220
01 000 08 000 CO COLORADO                               532       1115       28407    32433
01 000 53 000 WA WASHINGTON                             532       1244       26061    28863
01 000 04 000 AZ ARIZONA                                528       1077       23123    26967
01 000 24 000 MD MARYLAND                               524       1070       30756    37737
01 000 05 000 AR ARKANSAS                               456        986       17315    23369
01 000 40 000 OK OKLAHOMA                               417        901       16892    25899
01 000 34 000 NJ NEW JERSEY                             398        784       20096    23827
01 000 55 000 WI WISCONSIN                              349        687       14540    20689
01 000 20 000 KS KANSAS                                 299        674       12935    24463
01 000 25 000 MA MASSACHUSETTS                          295        576       15430    26070
01 000 32 000 NV NEVADA                                 256        536       11449    25999
01 000 15 000 HI HAWAII                                 243        608       10277    29544
01 000 27 000 MN MINNESOTA                              206        401       10035    26183
01 000 09 000 CT CONNECTICUT                            198        398        8911    23749
01 000 19 000 IA IOWA                                   190        385        8246    24305
01 000 02 000 AK ALASKA                                 186        476       10876    43268
01 000 35 000 NM NEW MEXICO                             180        403        8596    27916
01 000 41 000 OR OREGON                                 156        293        6351    27954
01 000 54 000 WV WEST VIRGINIA                          154        309        6814    23888
01 000 49 000 UT UTAH                                   136        337        6818    35937
01 000 31 000 NE NEBRASKA                               121        251        6016    26785
01 000 23 000 ME MAINE                                  104        194        4969    27499
01 000 11 000 DC DISTRICT OF COLUMBIA                    87        138        5384    42142
01 000 16 000 ID IDAHO                                   82        184        3541    28928
01 000 33 000 NH NEW HAMPSHIRE                           76        165        3707    25499
01 000 56 000 WY WYOMING                                 70        131        3281    24721
01 000 30 000 MT MONTANA                                 66        133        2782    25416
01 000 10 000 DE DELAWARE                                65        128        2934    24999
01 000 46 000 SD SOUTH DAKOTA                            57        125        2762    31249
01 000 44 000 RI RHODE ISLAND                            56        113        3288    26249
01 000 38 000 ND NORTH DAKOTA                            50        119        2474    32999
01 000 50 000 VT VERMONT                                 35         65        1154    24999
02 000 96 000 AK AK Total Mig - US & For              15439      29919      636802    25591
02 000 97 000 AK AK Total Mig - US                    14760      28573      614947    25747
02 000 98 000 AK AK Total Mig - Foreign                 679       1346       21856    22424
02 000 02 000 AK AK Non-Migrants                     237393     505133    15152856    39633
02 000 06 000 CA CALIFORNIA                            1478       2743       57063    23763
02 000 53 000 WA WASHINGTON                            1388       2525       56853    25193
02 000 48 000 TX TEXAS                                 1100       2370       61886    28220
02 000 41 000 OR OREGON                                 720       1214       28299    22713
02 000 12 000 FL FLORIDA                                691       1334       27083    26110
02 000 57 000 FR Foreign                                679       1346       21856    22424
02 000 04 000 AZ ARIZONA                                519        990       20514    25611
02 000 08 000 CO COLORADO                               489        900       22726    28139
02 000 51 000 VA VIRGINIA                               435        973       21399    32687
02 000 26 000 MI MICHIGAN                               429        706       15138    23507
02 000 30 000 MT MONTANA                                381        716       15962    27999
02 000 37 000 NC NORTH CAROLINA                         370        767       14934    24705
02 000 13 000 GA GEORGIA                                353        750       12759    26764
02 000 36 000 NY NEW YORK                               335        576       10906    22316
02 000 27 000 MN MINNESOTA                              324        549       14915    25749
02 000 16 000 ID IDAHO                                  323        678       14404    26521
02 000 32 000 NV NEVADA                                 301        574       12591    28803
02 000 40 000 OK OKLAHOMA                               300        733       15192    31470
02 000 17 000 IL ILLINOIS                               292        521       10609    23076
02 000 15 000 HI HAWAII                                 283        605       10611    26738
02 000 55 000 WI WISCONSIN                              283        450       10003    21596
02 000 39 000 OH OHIO                                   282        482        9339    19812
02 000 42 000 PA PENNSYLVANIA                           256        461        9343    20799
02 000 49 000 UT UTAH                                   237        518       11174    29642
02 000 29 000 MO MISSOURI                               232        493        7581    23332
02 000 01 000 AL ALABAMA                                219        500        9658    34705
02 000 47 000 TN TENNESSEE                              213        453        8433    28268
02 000 35 000 NM NEW MEXICO                             198        384       10369    29499
02 000 45 000 SC SOUTH CAROLINA                         189        446        7441    26537
02 000 21 000 KY KENTUCKY                               185        447        7857    27053
02 000 18 000 IN INDIANA                                176        330        6777    22221
02 000 24 000 MD MARYLAND                               167        318        7116    33332
02 000 22 000 LA LOUISIANA                              137        309        7239    32499
02 000 20 000 KS KANSAS                                 134        271        6038    26922
02 000 56 000 WY WYOMING                                128        227        6399    28749
02 000 25 000 MA MASSACHUSETTS                          126        222        4878    26499
02 000 34 000 NJ NEW JERSEY                             117        209        4482    26666
