00 000 96 000 US US Total Mig - US & For            3271557    6100272   166254026    25957
00 000 97 000 US US Total Mig - US                  3169383    5913702   161029631    26040
00 000 98 000 US US Total Mig - Foreign              102174     186570     5224396    23836
01 000 96 000 AL AL Total Mig - US & For              42812      85864     1892582    23423
01 000 97 000 AL AL Total Mig - US                    41744      83636     1842045    23301
01 000 98 000 AL AL Total Mig - Foreign                1068       2228       50537    28487
01 000 01 000 AL AL Non-Migrants                    1612276    3579529    83887827    30065
01 000 13 000 GA GEORGIA                               7426      14694      293799    21305
01 000 12 000 FL FLORIDA                               5744      11079      271960    21945
01 000 47 000 TN TENNESSEE                             3638       7031      169674    25899
01 000 48 000 TX TEXAS                                 3236       6794      147226    25850
01 000 28 000 MS MISSISSIPPI                           2691       5543      102563    22553
01 000 37 000 NC NORTH CAROLINA                        1638       3393       77300    25896
01 000 22 000 LA LOUISIANA                             1520       3089       60704    24388
01 000 06 000 CA CALIFORNIA                            1466       2636       59154    19895
01 000 51 000 VA VIRGINIA                              1316       2885       72114    31291
01 000 57 000 FR Foreign                               1068       2228       50537    28487
01 000 45 000 SC SOUTH CAROLINA                        1066       2241       49602    24469
01 000 39 000 OH OHIO                                   908       1850       35929    17972
01 000 17 000 IL ILLINOIS                               861       1746       41018    20753
01 000 36 000 NY NEW YORK                               825       1475       31822    20394
01 000 21 000 KY KENTUCKY                               750       1612       31783    22499
01 000 26 000 MI MICHIGAN                               659       1324       27938    14419
01 000 18 000 IN INDIANA                                568       1155       23441    21089
01 000 29 000 MO MISSOURI                               559       1128       23687    25454
01 000 08 000 CO COLORADO                               537       1120       30021    29486
01 000 04 000 AZ ARIZONA                                501        948       23111    25892
01 000 05 000 AR ARKANSAS                               482       1020       22694    22737
01 000 53 000 WA WASHINGTON                             471        952       23150    25454
01 000 42 000 PA PENNSYLVANIA                           447        907       22494    24705
01 000 24 000 MD MARYLAND                               440        824       18985    26710
01 000 40 000 OK OKLAHOMA                               350        735       13993    21215
01 000 20 000 KS KANSAS                                 343        784       16251    28082
01 000 34 000 NJ NEW JERSEY                             266        493       12939    22282
01 000 55 000 WI WISCONSIN                              259        481       10701    24264
01 000 25 000 MA MASSACHUSETTS                          257        453        9627    23332
01 000 15 000 HI HAWAII                                 240        532        9574    27499
01 000 32 000 NV NEVADA                                 221        455        9394    24749
01 000 02 000 AK ALASKA                                 219        500        9658    34705
01 000 35 000 NM NEW MEXICO                             168        322       10910    33928
01 000 19 000 IA IOWA                                   167        394       12169    28392
01 000 27 000 MN MINNESOTA                              152        324        7629    30832
01 000 41 000 OR OREGON                                 148        254        4904    17874
01 000 54 000 WV WEST VIRGINIA                          140        319        5888    24374
01 000 09 000 CT CONNECTICUT                            137        269        5126    19736
01 000 49 000 UT UTAH                                   130        319        8183    27142
01 000 31 000 NE NEBRASKA                               124        279        5636    25356
01 000 11 000 DC DISTRICT OF COLUMBIA                    98        122        3751    28749
01 000 23 000 ME MAINE                                   88        177        3553    24687
01 000 16 000 ID IDAHO                                   79        170        3123    28332
01 000 30 000 MT MONTANA                                 79        163        3861    29166
01 000 56 000 WY WYOMING                                 72        122        2753    26345
01 000 33 000 NH NEW HAMPSHIRE                           59        124        2627    30999
01 000 46 000 SD SOUTH DAKOTA                            50        102        2121    29166
01 000 10 000 DE DELAWARE                                49        103        2858    42499
01 000 44 000 RI RHODE ISLAND                            37         69        2121    26666
01 000 38 000 ND NORTH DAKOTA                            35         74        1373    32499
01 000 50 000 VT VERMONT                                 28         51        1153    27499
02 000 96 000 AK AK Total Mig - US & For              16288      32932      735498    28620
02 000 97 000 AK AK Total Mig - US                    15791      31929      713070    28614
02 000 98 000 AK AK Total Mig - Foreign                 497       1003       22427    28809
02 000 02 000 AK AK Non-Migrants                     237393     505133    15152856    39633
02 000 53 000 WA WASHINGTON                            2003       3712       91200    27946
02 000 06 000 CA CALIFORNIA                            1332       2507       50937    23299
02 000 48 000 TX TEXAS                                 1165       2639       64442    31637
02 000 41 000 OR OREGON                                1004       1732       40828    24420
02 000 12 000 FL FLORIDA                                753       1509       31425    29035
02 000 04 000 AZ ARIZONA                                749       1427       35353    29151
02 000 08 000 CO COLORADO                               624       1176       31536    29624
02 000 13 000 GA GEORGIA                                503       1206       18854    29783
02 000 57 000 FR Foreign                                497       1003       22427    28809
02 000 16 000 ID IDAHO                                  450        951       19882    27726
02 000 32 000 NV NEVADA                                 411        770       19982    29582
02 000 37 000 NC NORTH CAROLINA                         373        845       15623    28928
02 000 51 000 VA VIRGINIA                               369        877       20614    38599
02 000 30 000 MT MONTANA                                337        641       16550    29827
02 000 15 000 HI HAWAII                                 316        684       13353    28999
02 000 36 000 NY NEW YORK                               297        488       10810    23850
02 000 49 000 UT UTAH                                   284        600       12946    29137
02 000 40 000 OK OKLAHOMA                               266        632       14489    30118
02 000 27 000 MN MINNESOTA                              254        459       11103    25258
02 000 35 000 NM NEW MEXICO                             249        506       11952    32261
02 000 42 000 PA PENNSYLVANIA                           232        421        9154    26710
02 000 26 000 MI MICHIGAN                               227        437        9337    27499
02 000 39 000 OH OHIO                                   218        433        8704    26299
02 000 17 000 IL ILLINOIS                               213        410        9310    27499
02 000 47 000 TN TENNESSEE                              207        445       10012    31345
02 000 29 000 MO MISSOURI                               205        465       10121    32187
02 000 45 000 SC SOUTH CAROLINA                         187        423        7628    32187
