"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For",3257786,5968295,150792531
"00","000","97","000","US","US Total Mig - US",3026084,5635916,145006738
"00","000","98","000","US","US Total Mig - Foreign",231702,332379,5785793
"01","000","96","000","AL","AL Total Mig - US & For",47239,97426,2035450
"01","000","97","000","AL","AL Total Mig - US",45438,94246,1981845
"01","000","98","000","AL","AL Total Mig - Foreign",1801,3180,53605
"01","000","01","000","AL","AL Non-Migrants",1632467,3629748,83764352
"01","000","13","000","GA","GEORGIA",7680,16153,288562
"01","000","12","000","FL","FLORIDA",7075,13960,274399
"01","000","47","000","TN","TENNESSEE",3470,6928,156233
"01","000","28","000","MS","MISSISSIPPI",2991,6139,115773
"01","000","48","000","TX","TEXAS",2829,6226,142592
"01","000","57","000","FR","Foreign",1801,3180,53605
"01","000","06","000","CA","CALIFORNIA",1748,3581,80865
"01","000","37","000","NC","NORTH CAROLINA",1615,3525,69253
"01","000","51","000","VA","VIRGINIA",1471,3178,91428
"01","000","22","000","LA","LOUISIANA",1249,2606,61937
"01","000","26","000","MI","MICHIGAN",1233,2606,44363
"01","000","39","000","OH","OHIO",1134,2270,51186
"01","000","17","000","IL","ILLINOIS",1048,2105,47937
"01","000","36","000","NY","NEW YORK",1037,2027,42898
"01","000","45","000","SC","SOUTH CAROLINA",949,2072,43219
"01","000","21","000","KY","KENTUCKY",791,1680,31950
"01","000","18","000","IN","INDIANA",746,1525,31189
"01","000","29","000","MO","MISSOURI",653,1321,28602
"01","000","24","000","MD","MARYLAND",579,1202,35009
"01","000","42","000","PA","PENNSYLVANIA",566,1178,31052
"01","000","08","000","CO","COLORADO",524,1213,28200
"01","000","53","000","WA","WASHINGTON",500,1109,23199
"01","000","04","000","AZ","ARIZONA",496,1089,24243
"01","000","05","000","AR","ARKANSAS",458,970,20048
"01","000","34","000","NJ","NEW JERSEY",375,733,20845
"01","000","40","000","OK","OKLAHOMA",357,771,13391
"01","000","20","000","KS","KANSAS",347,766,15162
"01","000","55","000","WI","WISCONSIN",329,672,13717
"01","000","15","000","HI","HAWAII",296,696,13894
"01","000","32","000","NV","NEVADA",272,555,12239
"01","000","25","000","MA","MASSACHUSETTS",256,476,11950
"01","000","27","000","MN","MINNESOTA",239,449,9501
"01","000","02","000","AK","ALASKA",218,542,10688
"01","000","35","000","NM","NEW MEXICO",211,475,11870
"01","000","09","000","CT","CONNECTICUT",201,368,10058
"01","000","19","000","IA","IOWA",193,389,11707
"01","000","49","000","UT","UTAH",173,406,8711
"01","000","41","000","OR","OREGON",158,331,7014
"01","000","31","000","NE","NEBRASKA",148,321,9912
"01","000","54","000","WV","WEST VIRGINIA",144,304,6513
"01","000","23","000","ME","MAINE",85,152,2921
"01","000","33","000","NH","NEW HAMPSHIRE",80,143,3453
"01","000","30","000","MT","MONTANA",79,157,3101
"01","000","16","000","ID","IDAHO",73,172,2826
"01","000","10","000","DE","DELAWARE",66,133,3425
"01","000","11","000","DC","DISTRICT OF COLUMBIA",59,90,3677
"01","000","56","000","WY","WYOMING",55,102,2465
"01","000","44","000","RI","RHODE ISLAND",50,78,2303
"01","000","46","000","SD","SOUTH DAKOTA",49,113,2443
"01","000","38","000","ND","NORTH DAKOTA",45,113,2269
"01","000","50","000","VT","VERMONT",38,76,1655
"02","000","96","000","AK","AK Total Mig - US & For",16202,32284,677409
"02","000","97","000","AK","AK Total Mig - US",15576,30990,652563
"02","000","98","000","AK","AK Total Mig - Foreign",626,1294,24845
"02","000","02","000","AK","AK Non-Migrants",245092,515097,16363432
"02","000","06","000","CA","CALIFORNIA",1626,3207,59576
"02","000","53","000","WA","WASHINGTON",1510,2680,60723
"02","000","48","000","TX","TEXAS",1119,2443,68281
"02","000","12","000","FL","FLORIDA",775,1580,28721
"02","000","41","000","OR","OREGON",724,1294,27173
"02","000","57","000","FR","Foreign",626,1294,24845
"02","000","08","000","CO","COLORADO",596,1087,26201
"02","000","04","000","AZ","ARIZONA",589,1175,26472
"02","000","37","000","NC","NORTH CAROLINA",466,1082,17348
"02","000","13","000","GA","GEORGIA",414,942,15072
"02","000","26","000","MI","MICHIGAN",391,673,14086
"02","000","30","000","MT","MONTANA",375,670,15514
"02","000","27","000","MN","MINNESOTA",374,670,13809
"02","000","51","000","VA","VIRGINIA",369,827,18242
"02","000","16","000","ID","IDAHO",358,751,16471
"02","000","36","000","NY","NEW YORK",357,592,11439
"02","000","32","000","NV","NEVADA",330,632,13012
"02","000","15","000","HI","HAWAII",329,737,13501
"02","000","39","000","OH","OHIO",295,527,11611
"02","000","49","000","UT","UTAH",278,599,12732
"02","000","55","000","WI","WISCONSIN",273,573,9839
"02","000","42","000","PA","PENNSYLVANIA",266,460,10522
"02","000","17","000","IL","ILLINOIS",250,424,9248
"02","000","40","000","OK","OKLAHOMA",239,532,11646
"02","000","29","000","MO","MISSOURI",236,538,8350
"02","000","45","000","SC","SOUTH CAROLINA",222,490,8980
"02","000","47","000","TN","TENNESSEE",192,398,8932
"02","000","35","000","NM","NEW MEXICO",188,399,7607
"02","000","01","000","AL","ALABAMA",177,423,7571
"02","000","20","000","KS","KANSAS",173,431,7236
"02","000","18","000","IN","INDIANA",166,319,7578
"02","000","22","000","LA","LOUISIANA",164,400,7664
"02","000","24","000","MD","MARYLAND",153,312,6811
"02","000","21","000","KY","KENTUCKY",148,345,9303
"02","000","25","000","MA","MASSACHUSETTS",142,232,5939
"02","000","05","000","AR","ARKANSAS",141,304,5536
"02","000","31","000","NE","NEBRASKA",129,283,4924
"02","000","28","000","MS","MISSISSIPPI",118,242,5087
"02","000","34","000","NJ","NEW JERSEY",110,211,4416
"02","000","19","000","IA","IOWA",109,212,4359
"02","000","38","000","ND","NORTH DAKOTA",107,223,4682
"02","000","56","000","WY","WYOMING",107,195,6178
"02","000","46","000","SD","SOUTH DAKOTA",99,220,4894
"02","000","23","000","ME","MAINE",98,161,3638
"02","000","33","000","NH","NEW HAMPSHIRE",69,112,2322
"02","000","09","000","CT","CONNECTICUT",54,95,1868
"02","000","54","000","WV","WEST VIRGINIA",54,94,2245
"02","000","50","000","VT","VERMONT",48,69,1706
"02","000","44","000","RI","RHODE ISLAND",25,45,995
"02","000","10","000","DE","DELAWARE",22,50,1027
"02","000","11","000","DC","DISTRICT OF COLUMBIA",22,30,1478
"04","000","96","000","AZ","AZ Total Mig - US & For",93472,174730,4350498
"04","000","97","000","AZ","AZ Total Mig - US",90321,169396,4248647
"04","000","98","000","AZ","AZ Total Mig - Foreign",3151,5334,101851
"04","000","04","000","AZ","AZ Non-Migrants",2080423,4657503,114766996
"04","000","06","000","CA","CALIFORNIA",18104,35324,855364
"04","000","48","000","TX","TEXAS",5546,11003,268751
"04","000","53","000","WA","WASHINGTON",4310,7846,204947
"04","000","17","000","IL","ILLINOIS",4028,7107,230449
"04","000","26","000","MI","MICHIGAN",3893,6792,155424
"04","000","08","000","CO","COLORADO",3829,7193,193590
"04","000","32","000","NV","NEVADA",3586,7067,150175
