00 000 96 000 US US Total Mig - US & For            3134167    5834133   150297046
00 000 97 000 US US Total Mig - US                  3026084    5635916   145006738
00 000 98 000 US US Total Mig - Foreign              108083     198217     5290308
01 000 96 000 AL AL Total Mig - US & For              41982      84662     1742700
01 000 97 000 AL AL Total Mig - US                    40932      82513     1700772
01 000 98 000 AL AL Total Mig - Foreign                1050       2149       41928
01 000 01 000 AL AL Non-Migrants                    1632467    3629748    83764352
01 000 13 000 GA GEORGIA                               7374      14989      271567
01 000 12 000 FL FLORIDA                               5560      10443      268328
01 000 47 000 TN TENNESSEE                             3386       6711      134179
01 000 48 000 TX TEXAS                                 3263       7000      151837
01 000 28 000 MS MISSISSIPPI                           2624       5419       89665
01 000 37 000 NC NORTH CAROLINA                        1655       3401       69645
01 000 06 000 CA CALIFORNIA                            1365       2517       52852
01 000 22 000 LA LOUISIANA                             1354       2739       51669
01 000 51 000 VA VIRGINIA                              1304       2791       68435
01 000 57 000 FR Foreign                               1050       2149       41928
01 000 45 000 SC SOUTH CAROLINA                         908       1867       45983
01 000 36 000 NY NEW YORK                               839       1494       25730
01 000 39 000 OH OHIO                                   820       1731       30251
01 000 17 000 IL ILLINOIS                               803       1518       29757
01 000 21 000 KY KENTUCKY                               697       1479       27566
01 000 26 000 MI MICHIGAN                               649       1311       22107
01 000 08 000 CO COLORADO                               615       1223       26601
01 000 29 000 MO MISSOURI                               612       1238       24578
01 000 53 000 WA WASHINGTON                             533       1124       23782
01 000 18 000 IN INDIANA                                504       1063       19527
01 000 05 000 AR ARKANSAS                               499       1098       21415
01 000 42 000 PA PENNSYLVANIA                           498       1002       22621
01 000 04 000 AZ ARIZONA                                490        990       23156
01 000 24 000 MD MARYLAND                               438        839       21873
01 000 40 000 OK OKLAHOMA                               397        827       15431
01 000 20 000 KS KANSAS                                 379        865       15589
01 000 15 000 HI HAWAII                                 307        754       13181
01 000 34 000 NJ NEW JERSEY                             260        487       11724
01 000 55 000 WI WISCONSIN                              259        500       10328
01 000 25 000 MA MASSACHUSETTS                          247        433        9673
01 000 32 000 NV NEVADA                                 203        372        7159
01 000 35 000 NM NEW MEXICO                             183        402        8908
01 000 27 000 MN MINNESOTA                              181        379        8960
01 000 02 000 AK ALASKA                                 177        423        7571
01 000 54 000 WV WEST VIRGINIA                          154        341        7067
01 000 41 000 OR OREGON                                 151        281        6587
01 000 49 000 UT UTAH                                   139        322        6479
01 000 31 000 NE NEBRASKA                               137        297        7676
01 000 09 000 CT CONNECTICUT                            136        242        6307
01 000 19 000 IA IOWA                                   131        294        5983
01 000 11 000 DC DISTRICT OF COLUMBIA                   122        169        4915
01 000 16 000 ID IDAHO                                   85        190        3234
01 000 56 000 WY WYOMING                                 78        151        2879
01 000 23 000 ME MAINE                                   71        120        3169
01 000 30 000 MT MONTANA                                 68        130        2147
01 000 33 000 NH NEW HAMPSHIRE                           66        131        5039
01 000 46 000 SD SOUTH DAKOTA                            55        121        2251
01 000 38 000 ND NORTH DAKOTA                            47         98        1501
01 000 10 000 DE DELAWARE                                46         84        2051
01 000 44 000 RI RHODE ISLAND                            40         75        1176
01 000 50 000 VT VERMONT                                 23         38         663
02 000 96 000 AK AK Total Mig - US & For              15971      31971      749420
02 000 97 000 AK AK Total Mig - US                    15284      30629      721085
02 000 98 000 AK AK Total Mig - Foreign                 687       1342       28336
02 000 02 000 AK AK Non-Migrants                     245092     515097    16363432
02 000 53 000 WA WASHINGTON                            1874       3478       97136
02 000 06 000 CA CALIFORNIA                            1371       2468       57186
02 000 48 000 TX TEXAS                                 1260       2727       69558
02 000 41 000 OR OREGON                                 915       1577       42806
02 000 57 000 FR Foreign                                687       1342       28336
02 000 04 000 AZ ARIZONA                                630       1187       29403
02 000 12 000 FL FLORIDA                                625       1250       27795
02 000 08 000 CO COLORADO                               569       1080       30415
02 000 37 000 NC NORTH CAROLINA                         480       1086       20199
02 000 13 000 GA GEORGIA                                453       1010       19117
02 000 51 000 VA VIRGINIA                               445       1056       24607
02 000 16 000 ID IDAHO                                  362        745       17510
02 000 32 000 NV NEVADA                                 361        708       19954
02 000 30 000 MT MONTANA                                341        665       16964
02 000 15 000 HI HAWAII                                 309        663       12960
02 000 36 000 NY NEW YORK                               296        554        9876
02 000 40 000 OK OKLAHOMA                               267        603       13481
02 000 26 000 MI MICHIGAN                               261        505       12726
02 000 17 000 IL ILLINOIS                               241        466        9645
02 000 29 000 MO MISSOURI                               241        555        9407
02 000 39 000 OH OHIO                                   241        455       10516
02 000 49 000 UT UTAH                                   239        545       11285
02 000 27 000 MN MINNESOTA                              232        431        9771
02 000 47 000 TN TENNESSEE                              223        492       11407
02 000 42 000 PA PENNSYLVANIA                           220        410        8803
02 000 01 000 AL ALABAMA                                218        542       10688
02 000 35 000 NM NEW MEXICO                             205        421       10090
02 000 55 000 WI WISCONSIN                              191        351        8423
02 000 22 000 LA LOUISIANA                              189        418        8136
02 000 24 000 MD MARYLAND                               166        356        8129
02 000 20 000 KS KANSAS                                 158        368        7112
02 000 21 000 KY KENTUCKY                               153        320        6521
02 000 45 000 SC SOUTH CAROLINA                         149        350        6644
02 000 56 000 WY WYOMING                                143        278        7118
02 000 05 000 AR ARKANSAS                               140        303        5868
02 000 18 000 IN INDIANA                                134        277        4749
02 000 25 000 MA MASSACHUSETTS                          112        191        5039
02 000 46 000 SD SOUTH DAKOTA                           105        212        4814
02 000 19 000 IA IOWA                                    97        212        4258
02 000 34 000 NJ NEW JERSEY                              89        196        3685
02 000 31 000 NE NEBRASKA                                84        176        4188
02 000 28 000 MS MISSISSIPPI                             83        177        3552
02 000 23 000 ME MAINE                                   82        140        4329
02 000 38 000 ND NORTH DAKOTA                            73        175        3515
02 000 11 000 DC DISTRICT OF COLUMBIA                    49         65        2807
02 000 09 000 CT CONNECTICUT                             45         72        1469
02 000 54 000 WV WEST VIRGINIA                           44         78        1176
02 000 50 000 VT VERMONT                                 42         80        2282
02 000 33 000 NH NEW HAMPSHIRE                           38         71        1865
02 000 44 000 RI RHODE ISLAND                            20         48        1336
02 000 10 000 DE DELAWARE                                19         36         764
04 000 96 000 AZ AZ Total Mig - US & For              85291     168256     3644916
04 000 97 000 AZ AZ Total Mig - US                    83300     164407     3564217
04 000 98 000 AZ AZ Total Mig - Foreign                1991       3849       80699
04 000 04 000 AZ AZ Non-Migrants                    2080423    4657503   114766996
04 000 06 000 CA CALIFORNIA                           16252      31503      673561
04 000 48 000 TX TEXAS                                 7744      16933      349336
04 000 08 000 CO COLORADO                              4668       9256      203921
04 000 53 000 WA WASHINGTON                            4183       7992      181855
04 000 35 000 NM NEW MEXICO                            4094       9528      139408
04 000 32 000 NV NEVADA                                3316       6741      137256
04 000 17 000 IL ILLINOIS                              2753       4846      117634
04 000 12 000 FL FLORIDA                               2744       4896      119776
04 000 49 000 UT UTAH                                  2501       6190       97480
04 000 41 000 OR OREGON                                2461       4415       97601
04 000 36 000 NY NEW YORK                              2078       3445       88514
04 000 57 000 FR Foreign                               1991       3849       80699
04 000 26 000 MI MICHIGAN                              1685       2976       59416
04 000 37 000 NC NORTH CAROLINA                        1676       3406       73962
04 000 39 000 OH OHIO                                  1613       2964       66685
04 000 51 000 VA VIRGINIA                              1528       2976       89238
04 000 27 000 MN MINNESOTA                             1412       2530       71887
04 000 13 000 GA GEORGIA                               1396       2929       69921
04 000 42 000 PA PENNSYLVANIA                          1371       2468       65918
04 000 29 000 MO MISSOURI                              1350       2552       53482
04 000 55 000 WI WISCONSIN                             1311       2411       55463
04 000 40 000 OK OKLAHOMA                              1137       2438       38961
04 000 18 000 IN INDIANA                               1134       2145       48087
04 000 16 000 ID IDAHO                                 1010       2242       38124
04 000 20 000 KS KANSAS                                 992       2109       40534
04 000 47 000 TN TENNESSEE                              971       1963       41126
04 000 19 000 IA IOWA                                   919       1735       35152
04 000 25 000 MA MASSACHUSETTS                          872       1352       40301
04 000 24 000 MD MARYLAND                               773       1417       41085
04 000 31 000 NE NEBRASKA                               761       1554       30928
04 000 15 000 HI HAWAII                                 717       1417       32091
04 000 34 000 NJ NEW JERSEY                             714       1242       42989
04 000 30 000 MT MONTANA                                651       1226       26428
04 000 05 000 AR ARKANSAS                               626       1276       22620
04 000 02 000 AK ALASKA                                 589       1175       26472
04 000 45 000 SC SOUTH CAROLINA                         585       1141       28183
04 000 21 000 KY KENTUCKY                               573       1157       22421
04 000 56 000 WY WYOMING                                535       1098       28288
04 000 22 000 LA LOUISIANA                              528       1020       18920
04 000 01 000 AL ALABAMA                                496       1089       24243
04 000 46 000 SD SOUTH DAKOTA                           447        860       19124
04 000 09 000 CT CONNECTICUT                            392        672       21672
04 000 28 000 MS MISSISSIPPI                            301        613       10740
04 000 38 000 ND NORTH DAKOTA                           292        547       11501
04 000 33 000 NH NEW HAMPSHIRE                          226        405        8935
04 000 23 000 ME MAINE                                  208        371       13588
04 000 11 000 DC DISTRICT OF COLUMBIA                   184        233       11483
04 000 54 000 WV WEST VIRGINIA                          163        305        5779
04 000 10 000 DE DELAWARE                               130        230        6811
04 000 44 000 RI RHODE ISLAND                           119        218       10048
04 000 50 000 VT VERMONT                                119        200        5269
05 000 96 000 AR AR Total Mig - US & For              28897      58510     1111141
05 000 97 000 AR AR Total Mig - US                    28359      57493     1093110
05 000 98 000 AR AR Total Mig - Foreign                 538       1017       18031
05 000 05 000 AR AR Non-Migrants                     968501    2145868    45562945
05 000 48 000 TX TEXAS                                 5878      12223      244915
05 000 40 000 OK OKLAHOMA                              2866       6202       88598
05 000 29 000 MO MISSOURI                              2596       5259       79357
05 000 47 000 TN TENNESSEE                             1730       3299       60476
05 000 06 000 CA CALIFORNIA                            1377       2760       46754
05 000 22 000 LA LOUISIANA                             1355       2852       48276
05 000 12 000 FL FLORIDA                               1295       2471       50881
05 000 28 000 MS MISSISSIPPI                            890       1864       30526
05 000 17 000 IL ILLINOIS                               815       1559       29899
05 000 13 000 GA GEORGIA                                701       1444       28634
05 000 20 000 KS KANSAS                                 640       1344       23352
05 000 08 000 CO COLORADO                               564       1042       23045
05 000 37 000 NC NORTH CAROLINA                         547       1143       23830
05 000 57 000 FR Foreign                                538       1017       18031
05 000 04 000 AZ ARIZONA                                528       1005       18884
05 000 01 000 AL ALABAMA                                458        970       20048
05 000 51 000 VA VIRGINIA                               410        810       18551
05 000 36 000 NY NEW YORK                               398        679       16846
05 000 18 000 IN INDIANA                                381        778       14507
05 000 26 000 MI MICHIGAN                               366        721       13209
05 000 39 000 OH OHIO                                   365        763       21019
05 000 53 000 WA WASHINGTON                             352        680       13407
05 000 19 000 IA IOWA                                   289        580       10797
05 000 21 000 KY KENTUCKY                               286        635       13418
05 000 55 000 WI WISCONSIN                              282        561       11922
05 000 45 000 SC SOUTH CAROLINA                         254        473       12353
05 000 42 000 PA PENNSYLVANIA                           237        445       12066
05 000 35 000 NM NEW MEXICO                             235        514        8580
05 000 27 000 MN MINNESOTA                              234        474       12974
05 000 32 000 NV NEVADA                                 225        419        8055
05 000 41 000 OR OREGON                                 193        362        5553
05 000 31 000 NE NEBRASKA                               188        378        7041
05 000 24 000 MD MARYLAND                               172        348        9332
05 000 49 000 UT UTAH                                   147        314       19207
05 000 02 000 AK ALASKA                                 141        304        5536
05 000 34 000 NJ NEW JERSEY                             121        249        8531
05 000 25 000 MA MASSACHUSETTS                          117        171        4281
05 000 56 000 WY WYOMING                                 88        168        2908
05 000 30 000 MT MONTANA                                 80        167        2349
05 000 15 000 HI HAWAII                                  76        152        2077
05 000 09 000 CT CONNECTICUT                             74        141        5295
05 000 54 000 WV WEST VIRGINIA                           71        145        2732
05 000 16 000 ID IDAHO                                   70        162        2736
05 000 46 000 SD SOUTH DAKOTA                            60        114        2560
05 000 11 000 DC DISTRICT OF COLUMBIA                    45         49        1729
05 000 38 000 ND NORTH DAKOTA                            40         76        1296
05 000 10 000 DE DELAWARE                                32         61        1583
05 000 23 000 ME MAINE                                   25         48         787
05 000 33 000 NH NEW HAMPSHIRE                           24         46        1045
05 000 50 000 VT VERMONT                                 21         33         612
05 000 44 000 RI RHODE ISLAND                            20         36         739
06 000 96 000 CA CA Total Mig - US & For             252516     476641    12918048
06 000 97 000 CA CA Total Mig - US                   239693     453751    12243732
06 000 98 000 CA CA Total Mig - Foreign               12823      22890      674315
06 000 06 000 CA CA Non-Migrants                   12707337   28410195   812193541
06 000 48 000 TX TEXAS                                26737      56682     1316386
06 000 04 000 AZ ARIZONA                              18104      35324      855364
06 000 53 000 WA WASHINGTON                           17270      33666      956624
06 000 32 000 NV NEVADA                               16914      32269      764541
06 000 41 000 OR OREGON                               12834      22933      630890
06 000 57 000 FR Foreign                              12823      22890      674315
06 000 36 000 NY NEW YORK                             12641      18474      823542
06 000 08 000 CO COLORADO                             10447      20067      560313
06 000 12 000 FL FLORIDA                               9727      17321      523929
06 000 17 000 IL ILLINOIS                              7450      12961      413591
